product_name,current_price,price,percent_discount,rating,link,brand_id,series,devices
Sạc Apple 20W MHJE3,520.000₫,690.000₫,-24%,436,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-20w-cho-iphone-ipad-apple-mhje3,1,,Adapter Charger
Bộ chuyển đổi chân sạc Adapter Kit Apple MD837,980.000₫,1.090.000₫,-10%,,https://www.thegioididong.com/adapter-sac/chan-sac-world-travel-adapter-kit-apple-md837,1,,Adapter Charger
Sạc Apple MGN13,270.000₫,450.000₫,-40%,55,https://www.thegioididong.com/adapter-sac/adapter-sac-5w-cho-iphone-ipad-ipod-apple-mgn13,1,,Adapter Charger
Bộ Adapter sạc kèm cáp Type C - Type C Samsung EP-T4510X,1.070.000₫,1.190.000₫,-10%,70,https://www.thegioididong.com/adapter-sac/bo-adapter-sac-kem-cap-type-c-type-c-pd-45w-samsung-ep-t4510x,2,,Adapter Charger
Sạc Samsung EP-TA800N,390.000₫,490.000₫,-20%,329,https://www.thegioididong.com/adapter-sac/type-c-pd-25w-samsung-ep-ta800n,2,,Adapter Charger
Sạc 3 cổng Samsung EP-T6530,1.340.000₫,1.490.000₫,-10%,18,https://www.thegioididong.com/adapter-sac/adapter-sac-3-cong-usb-type-c-pd-65w-samsung-ep-t6530n,2,,Adapter Charger
Sạc kèm cáp Micro Samsung TA20HW,200.000₫,290.000₫,-30%,142,https://www.thegioididong.com/adapter-sac/bo-adapter-sac-kem-cap-micro-samsung-ta20hw,2,,Adapter Charger
Bộ Adapter sạc kèm cáp Type C - Type C Samsung EP-T1510X,320.000₫,400.000₫,-20%,83,https://www.thegioididong.com/adapter-sac/bo-adapter-sac-kem-cap-type-c-samsung-ep-t1510x,2,,Adapter Charger
Sạc Samsung EP-T1510N,255.000₫,320.000₫,-20%,36,https://www.thegioididong.com/adapter-sac/adapter-sac-type-c-samsung-ep-t1510n-trang,2,,Adapter Charger
Sạc kèm cáp Type C Samsung TA20EW,255.000₫,320.000₫,-20%,138,https://www.thegioididong.com/adapter-sac/bo-adapter-sac-kem-cap-type-c-samsung-ta20ew,2,,Adapter Charger
