product_name,current_price,price,percent_discount,rating,link,brand_id,series,devices
iPad Pro M1 12.9 inch WiFi Cellular 128GB (2021),29.290.000₫,34.990.000₫,-16%,14,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-cellular-128gb-2021,1,iPad Pro M1,Tablet
iPad Pro M1 12.9 inch WiFi Cellular 2TB (2021),58.990.000₫,63.990.000₫,-7%,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-cellular-2tb-2021,1,iPad Pro M1,Tablet
iPad Pro M1 12.9 inch WiFi 2TB (2021),54.990.000₫,59.990.000₫,-8%,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-2tb-2021,1,iPad Pro M1,Tablet
iPad Pro M1 11 inch WiFi Cellular 2TB (2021),50.990.000₫,55.990.000₫,-8%,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-cellular-2tb-2021,1,iPad Pro M1,Tablet
iPad Pro M1 11 inch WiFi 2TB (2021),44.990.000₫,49.990.000₫,-10%,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-11-inch-wifi-2tb-2021,1,iPad Pro M1,Tablet
iPad Pro M1 12.9 inch WiFi 512GB (2021),32.690.000₫,38.990.000₫,-16%,11,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m1-129-inch-wifi-512gb-2021,1,iPad Pro M1,Tablet
iPad mini 6 WiFi Cellular 64GB,15.990.000₫,16.690.000₫,-4%,16,https://www.thegioididong.com/may-tinh-bang/ipad-mini-6-wifi-cellular-64gb,1,iPad Mini,Tablet
iPad Air 5 M1 Wifi 64GB,14.590.000₫,15.590.000₫,-6%,32,https://www.thegioididong.com/may-tinh-bang/ipad-air-5,1,iPad Air,Tablet
iPad 9 WiFi 64GB,8.090.000₫,8.390.000₫,-3%,192,https://www.thegioididong.com/may-tinh-bang/ipad-gen-9,1,iPad 9,Tablet
iPad 9 WiFi Cellular 64GB,11.290.000₫,11.790.000₫,-4%,43,https://www.thegioididong.com/may-tinh-bang/ipad-9-wifi-cellular-64gb,1,iPad 9,Tablet
"iPad Pro M2 11"" WiFi 512GB",28.990.000₫,,,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-11-wifi-512gb,1,iPad Pro M2,Tablet
iPad Pro M2 11 inch WiFi 256GB,23.890.000₫,,,,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-11-wifi-256gb,1,iPad Pro M2,Tablet
iPad Pro M2 11 inch WiFi 128GB,20.690.000₫,21.190.000₫,-2%,31,https://www.thegioididong.com/may-tinh-bang/ipad-pro-m2-11-inch,1,iPad Pro M2,Tablet
iPad 10 WiFi 64GB,11.190.000₫,11.490.000₫,-2%,49,https://www.thegioididong.com/may-tinh-bang/ipad-gen-10,1,iPad 10,Tablet
iPad 10 WiFi 256GB,Dự kiến: 15.390.000₫,,,,https://www.thegioididong.com/may-tinh-bang/ipad-10,1,iPad 10,Tablet
Samsung Galaxy Tab S8 Ultra 5G,25.990.000₫,30.990.000₫,-16%,15,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s8-ultra,2,Galaxy Tab S,Tablet
Samsung Galaxy Tab S7 FE 4G,10.990.000₫,13.990.000₫,-21%,105,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-s7-fan-editon,2,Galaxy Tab S,Tablet
Samsung Galaxy Tab A8 (2022),6.490.000₫,6.990.000₫,-7%,123,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a8,2,Galaxy Tab A,Tablet
Samsung Galaxy Tab A7 Lite,3.990.000₫,4.490.000₫,-11%,188,https://www.thegioididong.com/may-tinh-bang/samsung-galaxy-tab-a7-lite,2,Galaxy Tab A,Tablet
Xiaomi Redmi Pad (4GB/128GB),5.790.000₫,6.990.000₫,-17%,62,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad-4gb,3,,Tablet
Xiaomi Redmi Pad (3GB/64GB),5.090.000₫,6.290.000₫,-19%,33,https://www.thegioididong.com/may-tinh-bang/xiaomi-redmi-pad,3,,Tablet
OPPO Pad Air 128GB,7.990.000₫,,,9,https://www.thegioididong.com/may-tinh-bang/oppo-pad-air-128gb,4,,Tablet
OPPO Pad Air 64GB,6.690.000₫,,,53,https://www.thegioididong.com/may-tinh-bang/oppo-pad-air,4,,Tablet
Masstel Tab 10S,2.690.000₫,2.890.000₫,-6%,93,https://www.thegioididong.com/may-tinh-bang/masstel-tab-10s,6,,Tablet
Masstel Tab 10A,2.690.000₫,2.790.000₫,-3%,41,https://www.thegioididong.com/may-tinh-bang/masstel-tab-10a,6,,Tablet
Masstel Tab 8.2,2.390.000₫,2.490.000₫,-4%,43,https://www.thegioididong.com/may-tinh-bang/masstel-tab-82,6,,Tablet
