product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Anker PowerCore Essential 20W A1287,1280000.0,1600000.0,20,47,,https://www.thegioididong.com/sac-dtdd/pin-polymer-20000mah-type-c-pd-20w-anker-a1287,Backup Charger,Anker
Anker PowerCore Slim 12W A1229,500000.0,800000.0,37,25,,https://www.thegioididong.com/sac-dtdd/pin-du-phong-10000mah-type-c-anker-powercore-a1229,Backup Charger,Anker
Anker PowerCore Select 12W A1223,445000.0,690000.0,35,26,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-10000mah-anker-powercore-select-a1223,Backup Charger,Anker
Xmobile 20W Y73,720000.0,800000.0,10,0,,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-10000mah-type-c-pd-qc3-0-20w-xmobile-y73,Backup Charger,Xmobile
Xmobile 15W PW37Y5B,360000.0,600000.0,40,88,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-10000mah-c-xmobile-pw37y5b,Backup Charger,Xmobile
Xmobile PowerBox 18W P69D,900000.0,1000000.0,10,257,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-20000mah-type-c-xmobile-p69d,Backup Charger,Xmobile
Xmobile PowerLite 20W P181P,950000.0,950000.0,0,60,,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-khong-day-magnetic-type-c-xmobile-powerlite-p181p,Backup Charger,Xmobile
Xmobile PowerSlim 18W PJ JP213,750000.0,750000.0,0,222,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-10000mah-type-c-powerslim-jp213,Backup Charger,Xmobile
Xmobile PowerBox+ 20W JP218,990000.0,1100000.0,10,66,,https://www.thegioididong.com/sac-dtdd/sac-phong-polymer-20000mah-type-c-pd-qc3-0-20w-xmobile-powerbox-jp218,Backup Charger,Xmobile
Pin sạc dự phòng Polymer 5000mAh Không dây Magnetic Type C PD 20W Xmobile DS611,850000.0,850000.0,0,0,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-5000mah-khong-day-magnetic-type-c-pd-20w-xmobile-ds611,Backup Charger,Xmobile
Xmobile PowerBox 18W P72D,810000.0,900000.0,10,108,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-15000mah-type-c-xmobile-p72d,Backup Charger,Xmobile
Xmobile 18W P68D,525000.0,750000.0,30,140,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-10000mah-qc30-xmobile-p68d,Backup Charger,Xmobile
Xmobile 12W PJ JP190ST,520000.0,650000.0,20,87,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-10000mah-type-c-xmobile-pj-jp190st,Backup Charger,Xmobile
Xmobile 18W P66D,640000.0,800000.0,20,181,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-polymer-10000mah-type-c-p66d-xam,Backup Charger,Xmobile
Xmobile 10.5W LA Y615N,395000.0,790000.0,50,170,,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-15000mah-xmobile-la-y615n,Backup Charger,Xmobile
Xmobile 10W LJ JP90S,560000.0,700000.0,20,182,,https://www.thegioididong.com/sac-dtdd/10000mah-lightning-xmobile-lj-jp90s-nhom-xam,Backup Charger,Xmobile
Samsung 25W EB-P3400,890000.0,990000.0,10,21,,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-10000mah-type-c-pd-samsung-eb-p3400,Backup Charger,Samsung
Samsung 25W EB-P3300,640000.0,990000.0,35,80,,https://www.thegioididong.com/sac-dtdd/polymer-10000mah-type-c-25w-samsung-eb-p3300,Backup Charger,Samsung
Samsung 25W EB-P5300,1340000.0,1490000.0,10,119,,https://www.thegioididong.com/sac-dtdd/polymer-20000mah-type-c-25w-samsung-eb-p5300,Backup Charger,Samsung
AVA+ 10.5W DS006,190000.0,500000.0,62,129,,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-ava-ds006,Backup Charger,Ava Plus
AVA+ 10W JP208,190000.0,500000.0,62,244,,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-ava-plus-jp208,Backup Charger,Ava Plus
AVA+ 12W PJ JP192,190000.0,500000.0,62,263,,https://www.thegioididong.com/sac-dtdd/ava-pj-jp192,Backup Charger,Ava Plus
AVA+ 15W DS2107,420000.0,600000.0,30,164,,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-type-c-ava-ds2107,Backup Charger,Ava Plus
AVA+ 10W LJ JP199,135000.0,170000.0,20,180,,https://www.thegioididong.com/sac-dtdd/ava-lj-jp199,Backup Charger,Ava Plus
Pin sạc dự phòng Polymer 10000mAh 12W AVA+ DS609A,500000.0,500000.0,0,0,,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-polymer-10000mah-12w-ava-ds609a,Backup Charger,Ava Plus
AVA+ 10W PB100S,420000.0,600000.0,30,129,,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-type-c-ava-pb100s,Backup Charger,Ava Plus
AVA+ 12W PJ JP260,420000.0,600000.0,30,253,,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000mah-type-c-ava-pj-jp260,Backup Charger,Ava Plus
AVA+ 10.5W LA Y68,135000.0,170000.0,20,183,,https://www.thegioididong.com/sac-dtdd/ava-plus-la-y68,Backup Charger,Ava Plus
AVA+ 10W DS005-PP,135000.0,170000.0,20,178,,https://www.thegioididong.com/sac-dtdd/ava-plus-ds005-pp,Backup Charger,Ava Plus
AVA PJ JP196,450000.0,450000.0,0,89,,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-polymer-10000mah-ava-pj-jp196-den,Backup Charger,Ava
Belkin Pocket Power 15W BPB011,550000.0,790000.0,30,12,,https://www.thegioididong.com/sac-dtdd/pin-du-phong-polymer-10000-mah-type-c-15w-pd-belkin-pocket-power-bpb011,Backup Charger,Belkin
Belkin Pocket Power 18W BPB001,665000.0,950000.0,30,17,,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000-mah-type-c-18w-pd-belkin-bpb001,Backup Charger,Belkin
Belkin Pocket Power 15W BPB011,550000.0,790000.0,30,12,,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000-type-c-15w-belkin-pocket-power,Backup Charger,Belkin
eSaver 10W PJ JP106S,300000.0,600000.0,50,292,,https://www.thegioididong.com/sac-dtdd/polymer-10000-mah-type-c-esaver-pj-jp106s,Backup Charger,Esaver
eSaver PJ JP188,600000.0,600000.0,0,46,,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-polymer-10000mah-lightning-jp188,Backup Charger,Esaver
eValu 12W PJ JP189SL,360000.0,600000.0,40,116,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-10000mah-lightning-evalu-pj-jp189sl,Backup Charger,Evalu
Hydrus PA CK01,500000.0,500000.0,0,0,,https://www.thegioididong.com/sac-dtdd/pin-sac-du-phong-polymer-10-000-mah-hydrus-pa-ck01-vang,Backup Charger,Hydrus
Hydrus 20W PB299S,675000.0,750000.0,10,74,,https://www.thegioididong.com/sac-dtdd/pin-10000mah-type-c-pd-qc30-20w-hydrus-pb299s,Backup Charger,Hydrus
Hydrus 10.5W PA CK01,250000.0,500000.0,50,76,,https://www.thegioididong.com/sac-dtdd/pin-polymer-10000-mah-hydrus-pa-ck01,Backup Charger,Hydrus
Hydrus 10W PJ JP196,250000.0,500000.0,50,40,,https://www.thegioididong.com/sac-dtdd/hydrus-pj-jp196,Backup Charger,Hydrus
Energizer UE10054BK,,,0,13,,https://www.thegioididong.com/sac-dtdd/polymer-10000mah-type-c-energizer,Backup Charger,Energizer
Energizer 18W UE10047PQ,595000.0,850000.0,30,67,,https://www.thegioididong.com/sac-dtdd/sac-du-phong-10000mah-type-c-energizer-ue10047pq,Backup Charger,Energizer
Energizer Báo Xám 15W QE10000GY,900000.0,900000.0,0,25,,https://www.thegioididong.com/sac-dtdd/pin-du-phong-c-wireless-energizer-qc10000gy-xam,Backup Charger,Energizer
