product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Tai nghe Bluetooth AirPods 2 Lightning Charge Apple MV7N2,2690000,4390000,38,332,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-airpods-2-apple-mv7n2-trang,Headphone,Apple
Tai nghe Bluetooth AirPods Pro MagSafe Charge Apple MLWK3,6790000,6790000,0,203,,https://www.thegioididong.com/tai-nghe/bluetooth-airpods-pro-magsafe-charge-apple-mlwk3,Headphone,Apple
Tai nghe Có Dây Apple MMTN2,690000,790000,12,227,,https://www.thegioididong.com/tai-nghe/tai-nghe-earpods-cong-lightning-apple-mmtn2,Headphone,Apple
Tai nghe Bluetooth AirPods 3 Lightning Charge Apple MPNY3,4290000,5390000,20,71,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-airpods-3-lightning-charge-apple-mpny3-trang,Headphone,Apple
Tai nghe Bluetooth AirPods Pro (2nd Gen) MagSafe Charge Apple MQD83,5990000,6990000,14,95,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-airpods-pro-2-magsafe-charge-apple-mqd83-trang,Headphone,Apple
Tai nghe Bluetooth AirPods 3 Wireless Charge Apple MME73,4690000,5490000,14,156,,https://www.thegioididong.com/tai-nghe/airpods-3-hop-sac-khong-day,Headphone,Apple
Tai nghe Bluetooth Chụp Tai AirPods Max Apple,12490000,13990000,10,5,,https://www.thegioididong.com/tai-nghe/bluetooth-airpods-max-apple,Headphone,Apple
Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 2 Pro R510N,3890000,4990000,22,79,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-galaxy-buds2-pro,Headphone,Samsung
Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 2 R177N Trắng,2990000,2990000,0,42,,https://www.thegioididong.com/tai-nghe/samsung-galaxy-buds-2-r177n-trang,Headphone,Samsung
Tai nghe Bluetooth True Wireless Samsung Galaxy Buds 2 Pro R510N,3890000,4990000,22,48,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-samsung-galaxy-buds2-pro-trang,Headphone,Samsung
Tai nghe Có Dây Samsung IA500,300000,300000,0,113,,https://www.thegioididong.com/tai-nghe/nhet-tai-samsung-ia500-den,Headphone,Samsung
Tai nghe Bluetooth Chụp Tai Sony WH-CH510,1190000,1190000,0,54,,https://www.thegioididong.com/tai-nghe/tai-nghe-chup-tai-bluetooth-sony-wh-ch510-den,Headphone,Sony
Tai nghe Bluetooth True Wireless Sony WF-C700N,2490000,2490000,0,9,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-sony-wf-c700n,Headphone,Sony
Tai nghe Bluetooth True Wireless Sony WF-C500,1990000,2290000,13,31,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-sony-wf-c500-den,Headphone,Sony
Tai nghe Bluetooth Sony WI-1000XM2,3495000,6990000,50,5,,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-bluetooth-sony-wi-1000xm2,Headphone,Sony
Tai nghe Có Dây Sony MDR-EX15AP,200000,200000,0,117,,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-sony-mdr-ex15aplize,Headphone,Sony
Tai nghe Bluetooth Sony WI-SP500,1490000,1490000,0,18,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-sony-wi-sp500,Headphone,Sony
Tai nghe Có Dây Sony Extra Bass MDR-XB55AP,790000,790000,0,81,,https://www.thegioididong.com/tai-nghe/tai-nghe-nhet-tai-ep-sony-extra-bass-mdr-xb55ap,Headphone,Sony
Tai nghe Có Dây Sony MDR-EX155AP,390000,390000,0,25,,https://www.thegioididong.com/tai-nghe/tai-nghe-nhet-tai-ep-sony-mdr-ex155ap,Headphone,Sony
Tai nghe Có Dây Sony MDR-E9LP,160000,160000,0,127,,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-sony-mdr-e9lp-bc-e,Headphone,Sony
Tai nghe Chụp Tai Sony MDR - ZX110AP,540000,540000,0,43,,https://www.thegioididong.com/tai-nghe/tai-nghe-sony-mdr-zx110ap,Headphone,Sony
Tai nghe Có Dây JBL C200 SIU,290000,290000,0,10,,https://www.thegioididong.com/tai-nghe/tai-nghe-co-day-jbl-c200-siu,Headphone,Jbl
Tai nghe Có Dây Gaming JBL Quantum 50,530000,890000,40,64,,https://www.thegioididong.com/tai-nghe/tai-nghe-ep-gaming-jbl-quantum-50,Headphone,Jbl
Tai nghe Bluetooth True Wireless JBL T115TWS,980000,1490000,34,117,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-jbl-t115tws,Headphone,Jbl
Tai nghe Bluetooth True Wireless JBL LIVE 300,3990000,3990000,0,11,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-jbl-live-300,Headphone,Jbl
Tai nghe Bluetooth True Wireless JBL Tune 120,995000,1990000,50,49,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-true-wireless-jbl-t120,Headphone,Jbl
Tai nghe Bluetooth JBL T110BT,485000,890000,45,45,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-jbl-t110btblu-xanh-duong,Headphone,Jbl
Tai nghe Bluetooth True Wireless OPPO ENCO Buds 2 ETE41,790000,990000,20,147,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-oppo-enco-buds-2-ete41-trang,Headphone,Oppo
Tai nghe Bluetooth True Wireless OPPO ENCO Air 3 ETE31,1590000,1590000,0,39,,https://www.thegioididong.com/tai-nghe/tai-nghe-bluetooth-tws-oppo-enco-air-3-ete31,Headphone,Oppo
Tai nghe Bluetooth True Wireless OPPO ENCO Air 2 Pro ETE21,1690000,1790000,5,88,,https://www.thegioididong.com/tai-nghe/bluetooth-true-wireless-oppo-enco-air-2-pro-ete21,Headphone,Oppo
