product_name,current_price,price,percent_discount,rating,series,link,genre_name,brand_name
Apple Watch Ultra LTE 49mm viền Titanium dây Alpine size M,19990000.0,23990000.0,16,11,Apple Watch Ultra,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-ultra-alpine-m,SmartWatch,Apple
Apple Watch Ultra LT 49mm dây cao su,19490000.0,23990000.0,18,12,Apple Watch Ultra,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-ultra-cao-su,SmartWatch,Apple
Apple Watch S8 GPS 41mm viền nhôm dây silicone,9290000.0,11990000.0,22,34,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-41mm,SmartWatch,Apple
Apple Watch S8 GPS 45mm viền nhôm dây silicone,10490000.0,12990000.0,19,60,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8,SmartWatch,Apple
Apple Watch S8 LTE 45mm viền nhôm dây silicone,12490000.0,15990000.0,21,9,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-45mm,SmartWatch,Apple
Apple Watch S8 LTE 41mm viền nhôm dây silicone,12290000.0,14990000.0,18,6,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-41mm,SmartWatch,Apple
Apple Watch S8 LTE 45mm viền thép dây silicone,17990000.0,21990000.0,18,5,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-45mm-vien-thep,SmartWatch,Apple
Apple Watch S8 LTE 45mm viền thép dây thép,18990000.0,22990000.0,17,5,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-45mm-day-thep,SmartWatch,Apple
Apple Watch S8 LTE 41mm viền thép dây thép,17990000.0,21990000.0,18,5,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-41mm-day-thep,SmartWatch,Apple
Apple Watch S8 LTE 41mm viền thép dây silicone,16990000.0,20990000.0,19,5,Apple Watch S8,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s8-lte-41mm-vien-thep,SmartWatch,Apple
Apple Watch SE 2022 40mm viền nhôm dây silicone,6190000.0,7490000.0,17,144,Apple Watch SE 2022,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022,SmartWatch,Apple
Apple Watch SE 2022 44mm viền nhôm dây silicone,6990000.0,8490000.0,17,96,Apple Watch SE 2022,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-44mm-vien-nhom,SmartWatch,Apple
Apple Watch SE 2022 LTE 44mm viền nhôm dây silicone,8290000.0,9990000.0,17,7,Apple Watch SE 2022,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-lte-44mm,SmartWatch,Apple
Apple Watch SE 2022 LTE 40mm viền nhôm dây silicone,7490000.0,8990000.0,16,8,Apple Watch SE 2022,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-se-2022-lte-40mm,SmartWatch,Apple
Apple Watch Series 7 LTE 45mm viền nhôm dây silicone,10990000.0,10990000.0,0,23,Apple Watch S7,https://www.thegioididong.com/dong-ho-thong-minh/apple-watch-s7-lte-45mm,SmartWatch,Apple
Samsung Galaxy Watch5 40mm dây silicone,4990000.0,5990000.0,16,86,Galaxy Watch5,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch5,SmartWatch,Samsung
Samsung Galaxy Watch5 LTE 40mm dây silicone,5490000.0,7490000.0,26,27,Galaxy Watch5,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-5-lte,SmartWatch,Samsung
Samsung Galaxy Watch5 44mm dây silicone,5490000.0,6490000.0,15,62,Galaxy Watch5,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch5-44mm,SmartWatch,Samsung
Samsung Galaxy Watch5 LTE 44mm dây silicone,5990000.0,7990000.0,25,34,Galaxy Watch5,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch5-lte-44mm,SmartWatch,Samsung
Samsung Galaxy Watch5 Pro LTE 45mm dây silicone,11990000.0,12990000.0,7,58,Galaxy Watch5 Pro,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-5-pro-lte,SmartWatch,Samsung
Samsung Galaxy Watch5 Pro 45mm dây silicone,10990000.0,11990000.0,8,42,Galaxy Watch5 Pro,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch5-pro,SmartWatch,Samsung
Samsung Galaxy Watch4 40mm dây silicone,3690000.0,3990000.0,7,126,Galaxy Watch4,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-4-40mm,SmartWatch,Samsung
Samsung Galaxy Watch4 LTE Classic 46mm dây silicone,4990000.0,9990000.0,50,66,Galaxy Watch4 Classic,https://www.thegioididong.com/dong-ho-thong-minh/samsung-galaxy-watch-4-lte-classic-46mm,SmartWatch,Samsung
BeFit B4 44mm dây silicone,590000.0,990000.0,40,253,B series,https://www.thegioididong.com/dong-ho-thong-minh/befit-b4-hong,SmartWatch,Befit
BeFit BeU B3 44mm dây silicone,790000.0,1290000.0,38,144,B series,https://www.thegioididong.com/dong-ho-thong-minh/befit-b3-vang,SmartWatch,Befit
BeFit Sporty 2 44.5mm dây silicone,1190000.0,1690000.0,29,115,Sporty,https://www.thegioididong.com/dong-ho-thong-minh/befit-sporty-2,SmartWatch,Befit
BeFit Sporty 2 Pro 44.8mm dây da,1490000.0,1990000.0,25,54,Sporty,https://www.thegioididong.com/dong-ho-thong-minh/befit-sporty-2-pro,SmartWatch,Befit
BeFit Sporty 2 44.5mm dây da,1290000.0,1790000.0,27,27,Sporty,https://www.thegioididong.com/dong-ho-thong-minh/befit-sporty-2-day-da,SmartWatch,Befit
Xiaomi Redmi Watch 3 42.6mm dây silicone,2790000.0,2790000.0,0,197,Mi Watch,https://www.thegioididong.com/dong-ho-thong-minh/redmi-watch-3,SmartWatch,Xiaomi
Xiaomi Watch S1 46.5mm dây da,3990000.0,5990000.0,33,106,Mi Watch,https://www.thegioididong.com/dong-ho-thong-minh/dong-ho-thong-minh-xiaomi-watch-s1,SmartWatch,Xiaomi
Xiaomi Redmi Watch 2 Lite 41.2mm dây TPU,990000.0,1490000.0,33,194,Mi Watch,https://www.thegioididong.com/dong-ho-thong-minh/redmi-watch-2-lite,SmartWatch,Xiaomi
Xiaomi Mi Band 7 Pro dây TPU,1590000.0,1890000.0,15,89,Mi Band,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-7-pro,SmartWatch,Xiaomi
Xiaomi Mi Band 7 dây TPU,890000.0,1290000.0,31,138,Mi Band,https://www.thegioididong.com/dong-ho-thong-minh/mi-band-7,SmartWatch,Xiaomi
Garmin Forerunner 965 47.2mm dây silicone,16490000.0,16490000.0,0,7,Forerunner,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-965-day-silicone,SmartWatch,Garmin
Garmin Forerunner 265 Music 46.1mm dây silicone,11690000.0,11690000.0,0,10,Forerunner,https://www.thegioididong.com/dong-ho-thong-minh/garmin-forerunner-265-music-day-silicone,SmartWatch,Garmin
